cluster
InvoiceGenDate,"['AST_DIM', 'dfsms/bwdate-report-details.php', 101, 'AST_DIM', 'dfsms/invoice.php', 84, 'AST_DIM', 'dfsms/invoices.php', 95, 'AST_DIM', 'dfsms/view-invoice.php', 85]"
base64_encode,"['AST_NAME', 'dfsms/bwdate-report-details.php', 103, 'AST_NAME', 'dfsms/invoices.php', 97, 'AST_NAME', 'dfsms/manage-categories.php', 93, 'AST_NAME', 'dfsms/manage-categories.php', 94, 'AST_NAME', 'dfsms/manage-companies.php', 92, 'AST_NAME', 'dfsms/manage-companies.php', 93, 'AST_NAME', 'dfsms/manage-products.php', 91]"
error_reporting,"['AST_NAME', 'dfsms/invoice.php', 3, 'AST_NAME', 'dfsms/index.php', 3, 'AST_NAME', 'dfsms/view-invoice.php', 3]"
inid,"['AST_VAR', 'dfsms/invoice.php', 76, 'AST_VAR', 'dfsms/invoice.php', 77, 'AST_VAR', 'dfsms/invoice.php', 116, 'AST_VAR', 'dfsms/view-invoice.php', 77, 'AST_VAR', 'dfsms/view-invoice.php', 78, 'AST_VAR', 'dfsms/view-invoice.php', 117]"
invoice,"['AST_DIM', 'dfsms/invoice.php', 76, 'AST_DIM', 'dfsms/search-product.php', 71]"
"select distinct InvoiceNumber,CustomerName,CustomerContactNo,PaymentMode,InvoiceGenDate  from tblorders  where InvoiceNumber='","['AST_ENCAPS_LIST', 'dfsms/invoice.php', 77, 'AST_ENCAPS_LIST', 'dfsms/view-invoice.php', 78]"
"select tblproducts.CategoryName,tblproducts.ProductName,tblproducts.CompanyName,tblproducts.ProductPrice,tblorders.Quantity  from tblorders join tblproducts on tblproducts.id=tblorders.ProductId where tblorders.InvoiceNumber='","['AST_ENCAPS_LIST', 'dfsms/invoice.php', 116, 'AST_ENCAPS_LIST', 'dfsms/view-invoice.php', 117]"
ProductName,"['AST_DIM', 'dfsms/invoice.php', 123, 'AST_DIM', 'dfsms/edit-product.php', 118, 'AST_DIM', 'dfsms/manage-products.php', 87, 'AST_DIM', 'dfsms/view-invoice.php', 124, 'AST_DIM', 'dfsms/search-product.php', 183, 'AST_DIM', 'dfsms/search-product.php', 18]"
qty,"['AST_VAR', 'dfsms/invoice.php', 126, 'AST_VAR', 'dfsms/invoice.php', 128, 'AST_VAR', 'dfsms/view-invoice.php', 127, 'AST_VAR', 'dfsms/view-invoice.php', 129, 'AST_VAR', 'dfsms/search-product.php', 66, 'AST_VAR', 'dfsms/search-product.php', 67]"
Quantity,"['AST_DIM', 'dfsms/invoice.php', 126, 'AST_DIM', 'dfsms/view-invoice.php', 127]"
ppu,"['AST_VAR', 'dfsms/invoice.php', 127, 'AST_VAR', 'dfsms/invoice.php', 128, 'AST_VAR', 'dfsms/view-invoice.php', 128, 'AST_VAR', 'dfsms/view-invoice.php', 129]"
ProductPrice,"['AST_DIM', 'dfsms/invoice.php', 127, 'AST_DIM', 'dfsms/edit-product.php', 126, 'AST_DIM', 'dfsms/manage-products.php', 88, 'AST_DIM', 'dfsms/view-invoice.php', 128, 'AST_DIM', 'dfsms/search-product.php', 184, 'AST_DIM', 'dfsms/search-product.php', 18]"
subtotal,"['AST_VAR', 'dfsms/invoice.php', 128, 'AST_VAR', 'dfsms/invoice.php', 132, 'AST_VAR', 'dfsms/view-invoice.php', 129, 'AST_VAR', 'dfsms/view-invoice.php', 133]"
number_format,"['AST_NAME', 'dfsms/invoice.php', 128, 'AST_NAME', 'dfsms/invoice.php', 137, 'AST_NAME', 'dfsms/dashboard.php', 125, 'AST_NAME', 'dfsms/dashboard.php', 147, 'AST_NAME', 'dfsms/dashboard.php', 169, 'AST_NAME', 'dfsms/dashboard.php', 191, 'AST_NAME', 'dfsms/view-invoice.php', 129, 'AST_NAME', 'dfsms/view-invoice.php', 138, 'AST_NAME', 'dfsms/search-product.php', 246, 'AST_NAME', 'dfsms/search-product.php', 259]"
2,"['AST_ARG_LIST', 'dfsms/invoice.php', 128, 'AST_ARG_LIST', 'dfsms/invoice.php', 137, 'AST_ARG_LIST', 'dfsms/dashboard.php', 125, 'AST_ARG_LIST', 'dfsms/dashboard.php', 147, 'AST_ARG_LIST', 'dfsms/dashboard.php', 169, 'AST_ARG_LIST', 'dfsms/dashboard.php', 191, 'AST_ARG_LIST', 'dfsms/view-invoice.php', 129, 'AST_ARG_LIST', 'dfsms/view-invoice.php', 138, 'AST_ARG_LIST', 'dfsms/search-product.php', 246, 'AST_ARG_LIST', 'dfsms/search-product.php', 259]"
grandtotal,"['AST_VAR', 'dfsms/invoice.php', 132, 'AST_VAR', 'dfsms/invoice.php', 137, 'AST_VAR', 'dfsms/view-invoice.php', 133, 'AST_VAR', 'dfsms/view-invoice.php', 138]"
"select distinct InvoiceNumber,CustomerName,CustomerContactNo,PaymentMode,InvoiceGenDate  from tblorders","['AST_ARG_LIST', 'dfsms/invoices.php', 84]"
session_destroy,"['AST_NAME', 'dfsms/logout.php', 3]"
location:index.php,"['AST_ARG_LIST', 'dfsms/logout.php', 4]"
\n,"['AST_ECHO', 'dfsms/logout.php', 6]"
select * from tblcategory,"['AST_ARG_LIST', 'dfsms/manage-categories.php', 82]"
CategoryCode,"['AST_DIM', 'dfsms/manage-categories.php', 90, 'AST_DIM', 'dfsms/edit-category.php', 88]"
PostingDate,"['AST_DIM', 'dfsms/manage-categories.php', 91, 'AST_DIM', 'dfsms/manage-companies.php', 90, 'AST_DIM', 'dfsms/manage-products.php', 89]"
id,"['AST_DIM', 'dfsms/manage-categories.php', 93, 'AST_DIM', 'dfsms/manage-categories.php', 94, 'AST_DIM', 'dfsms/manage-companies.php', 92, 'AST_DIM', 'dfsms/manage-companies.php', 93, 'AST_DIM', 'dfsms/manage-products.php', 91, 'AST_DIM', 'dfsms/search-product.php', 178, 'AST_DIM', 'dfsms/search-product.php', 18, 'AST_DIM', 'dfsms/search-product.php', 18, 'AST_DIM', 'dfsms/search-product.php', 20, 'AST_DIM', 'dfsms/search-product.php', 22]"
cid,"['AST_VAR', 'dfsms/edit-category.php', 11, 'AST_VAR', 'dfsms/edit-category.php', 15, 'AST_VAR', 'dfsms/edit-category.php', 72, 'AST_VAR', 'dfsms/edit-category.php', 73]"
catid,"['AST_DIM', 'dfsms/edit-category.php', 11, 'AST_DIM', 'dfsms/edit-category.php', 72]"
update tblcategory set CategoryName=',"['AST_ENCAPS_LIST', 'dfsms/edit-category.php', 15]"
"',CategoryCode='","['AST_ENCAPS_LIST', 'dfsms/edit-category.php', 15]"
select * from tblcategory where ID=',"['AST_ENCAPS_LIST', 'dfsms/edit-category.php', 73]"
compid,"['AST_DIM', 'dfsms/edit-company.php', 11, 'AST_DIM', 'dfsms/edit-company.php', 78]"
update  tblcompany set  CompanyName=',"['AST_ENCAPS_LIST', 'dfsms/edit-company.php', 14]"
select * from tblcompany where id=',"['AST_ENCAPS_LIST', 'dfsms/edit-company.php', 79]"
' ,"['AST_ENCAPS_LIST', 'dfsms/edit-company.php', 79, 'AST_ENCAPS_LIST', 'dfsms/index.php', 9]"
pid,"['AST_VAR', 'dfsms/edit-product.php', 11, 'AST_DIM', 'dfsms/edit-product.php', 11, 'AST_VAR', 'dfsms/edit-product.php', 17, 'AST_VAR', 'dfsms/edit-product.php', 79, 'AST_DIM', 'dfsms/edit-product.php', 79, 'AST_VAR', 'dfsms/edit-product.php', 80, 'AST_VAR', 'dfsms/search-product.php', 15, 'AST_DIM', 'dfsms/search-product.php', 15, 'AST_VAR', 'dfsms/search-product.php', 16, 'AST_VAR', 'dfsms/search-product.php', 60, 'AST_VAR', 'dfsms/search-product.php', 65]"
update tblproducts set CategoryName=',"['AST_ENCAPS_LIST', 'dfsms/edit-product.php', 17]"
"',CompanyName='","['AST_ENCAPS_LIST', 'dfsms/edit-product.php', 17]"
"',ProductName='","['AST_ENCAPS_LIST', 'dfsms/edit-product.php', 17]"
"',ProductPrice='","['AST_ENCAPS_LIST', 'dfsms/edit-product.php', 17]"
select * from tblproducts where id=',"['AST_ENCAPS_LIST', 'dfsms/edit-product.php', 80]"
result,"['AST_VAR', 'dfsms/edit-product.php', 81, 'AST_VAR', 'dfsms/edit-product.php', 88, 'AST_VAR', 'dfsms/edit-product.php', 88, 'AST_VAR', 'dfsms/edit-product.php', 104, 'AST_VAR', 'dfsms/edit-product.php', 104, 'AST_VAR', 'dfsms/edit-product.php', 118, 'AST_VAR', 'dfsms/edit-product.php', 126, 'AST_VAR', 'dfsms/search-product.php', 16, 'AST_VAR', 'dfsms/search-product.php', 17]"
rw,"['AST_VAR', 'dfsms/edit-product.php', 107, 'AST_VAR', 'dfsms/edit-product.php', 109, 'AST_VAR', 'dfsms/edit-product.php', 109, 'AST_VAR', 'dfsms/dashboard.php', 156, 'AST_VAR', 'dfsms/dashboard.php', 169]"
delete from tblcompany where id=',"['AST_ENCAPS_LIST', 'dfsms/manage-companies.php', 11]"
select * from tblcompany,"['AST_ARG_LIST', 'dfsms/manage-companies.php', 82]"
select * from tblproducts,"['AST_ARG_LIST', 'dfsms/manage-products.php', 78]"
cpassword,"['AST_VAR', 'dfsms/change-password.php', 12, 'AST_VAR', 'dfsms/change-password.php', 14]"
md5,"['AST_NAME', 'dfsms/change-password.php', 12, 'AST_NAME', 'dfsms/change-password.php', 13, 'AST_NAME', 'dfsms/index.php', 8]"
currentpassword,"['AST_DIM', 'dfsms/change-password.php', 12]"
newpassword,"['AST_VAR', 'dfsms/change-password.php', 13, 'AST_DIM', 'dfsms/change-password.php', 13, 'AST_VAR', 'dfsms/change-password.php', 17]"
select ID from tbladmin where ID=',"['AST_ENCAPS_LIST', 'dfsms/change-password.php', 14]"
' and   Password=',"['AST_ENCAPS_LIST', 'dfsms/change-password.php', 14]"
update tbladmin set Password=',"['AST_ENCAPS_LIST', 'dfsms/change-password.php', 17]"
' where ID=',"['AST_ENCAPS_LIST', 'dfsms/change-password.php', 17]"
select sum(tblorders.Quantity*tblproducts.ProductPrice) as tt  from tblorders join tblproducts on tblproducts.id=tblorders.ProductId ,"['AST_ARG_LIST', 'dfsms/dashboard.php', 111]"
qury,"['AST_VAR', 'dfsms/dashboard.php', 133, 'AST_VAR', 'dfsms/dashboard.php', 134]"
qurys,"['AST_VAR', 'dfsms/dashboard.php', 155, 'AST_VAR', 'dfsms/dashboard.php', 156]"
select sum(tblorders.Quantity*tblproducts.ProductPrice) as tt  from tblorders join tblproducts on tblproducts.id=tblorders.ProductId where date(tblorders.InvoiceGenDate)=CURDATE()-1,"['AST_ARG_LIST', 'dfsms/dashboard.php', 155]"
quryss,"['AST_VAR', 'dfsms/dashboard.php', 177, 'AST_VAR', 'dfsms/dashboard.php', 178]"
select sum(tblorders.Quantity*tblproducts.ProductPrice) as tt  from tblorders join tblproducts on tblproducts.id=tblorders.ProductId where date(tblorders.InvoiceGenDate)=CURDATE(),"['AST_ARG_LIST', 'dfsms/dashboard.php', 177]"
rws,"['AST_VAR', 'dfsms/dashboard.php', 178, 'AST_VAR', 'dfsms/dashboard.php', 191]"
select id from tblcategory,"['AST_ARG_LIST', 'dfsms/dashboard.php', 43]"
listedcat,"['AST_VAR', 'dfsms/dashboard.php', 44, 'AST_VAR', 'dfsms/dashboard.php', 58]"
mysqli_num_rows,"['AST_NAME', 'dfsms/dashboard.php', 44, 'AST_NAME', 'dfsms/dashboard.php', 68, 'AST_NAME', 'dfsms/dashboard.php', 91]"
select id from tblcompany,"['AST_ARG_LIST', 'dfsms/dashboard.php', 67]"
listedcomp,"['AST_VAR', 'dfsms/dashboard.php', 68, 'AST_VAR', 'dfsms/dashboard.php', 82]"
sql,"['AST_VAR', 'dfsms/dashboard.php', 90, 'AST_VAR', 'dfsms/dashboard.php', 91]"
select id from tblproducts,"['AST_ARG_LIST', 'dfsms/dashboard.php', 90]"
listedproduct,"['AST_VAR', 'dfsms/dashboard.php', 91, 'AST_VAR', 'dfsms/dashboard.php', 104]"
mysqli_connect,"['AST_NAME', 'dfsms/includes/config.php', 2]"
localhost,"['AST_ARG_LIST', 'dfsms/includes/config.php', 2]"
user,"['AST_ARG_LIST', 'dfsms/includes/config.php', 2, 'AST_ARG_LIST', 'dfsms/includes/config.php', 2]"
dfsms,"['AST_ARG_LIST', 'dfsms/includes/config.php', 2]"
mysqli_connect_errno,"['AST_NAME', 'dfsms/includes/config.php', 3]"
Connection Fail,"['AST_BINARY_OP', 'dfsms/includes/config.php', 4]"
mysqli_connect_error,"['AST_NAME', 'dfsms/includes/config.php', 4]"
select AdminName from tbladmin where id=',"['AST_ENCAPS_LIST', 'dfsms/includes/navbar.php', 19]"
login,"['AST_DIM', 'dfsms/index.php', 5]"
adminuser,"['AST_VAR', 'dfsms/index.php', 7, 'AST_VAR', 'dfsms/index.php', 9]"
username,"['AST_DIM', 'dfsms/index.php', 7]"
password,"['AST_VAR', 'dfsms/index.php', 8, 'AST_DIM', 'dfsms/index.php', 8, 'AST_VAR', 'dfsms/index.php', 9]"
select ID from tbladmin where  UserName=',"['AST_ENCAPS_LIST', 'dfsms/index.php', 9]"
' && Password=',"['AST_ENCAPS_LIST', 'dfsms/index.php', 9]"
ID,"['AST_DIM', 'dfsms/index.php', 12]"
location:add-category.php,"['AST_ARG_LIST', 'dfsms/index.php', 13]"
invid,"['AST_DIM', 'dfsms/view-invoice.php', 77]"
search,"['AST_DIM', 'dfsms/search-product.php', 151]"
select * from tblproducts where ProductName like '%,"['AST_ENCAPS_LIST', 'dfsms/search-product.php', 173]"
%',"['AST_ENCAPS_LIST', 'dfsms/search-product.php', 173]"
cart_item,"['AST_DIM', 'dfsms/search-product.php', 217, 'AST_DIM', 'dfsms/search-product.php', 234, 'AST_DIM', 'dfsms/search-product.php', 19, 'AST_DIM', 'dfsms/search-product.php', 20, 'AST_DIM', 'dfsms/search-product.php', 21, 'AST_DIM', 'dfsms/search-product.php', 23, 'AST_DIM', 'dfsms/search-product.php', 24, 'AST_DIM', 'dfsms/search-product.php', 26, 'AST_DIM', 'dfsms/search-product.php', 30, 'AST_DIM', 'dfsms/search-product.php', 30, 'AST_DIM', 'dfsms/search-product.php', 33, 'AST_DIM', 'dfsms/search-product.php', 41, 'AST_DIM', 'dfsms/search-product.php', 42, 'AST_DIM', 'dfsms/search-product.php', 44, 'AST_DIM', 'dfsms/search-product.php', 45, 'AST_DIM', 'dfsms/search-product.php', 46, 'AST_DIM', 'dfsms/search-product.php', 52, 'AST_DIM', 'dfsms/search-product.php', 70]"
total_quantity,"['AST_VAR', 'dfsms/search-product.php', 218, 'AST_VAR', 'dfsms/search-product.php', 250, 'AST_VAR', 'dfsms/search-product.php', 258]"
total_price,"['AST_VAR', 'dfsms/search-product.php', 219, 'AST_VAR', 'dfsms/search-product.php', 251, 'AST_VAR', 'dfsms/search-product.php', 259]"
productid,"['AST_VAR', 'dfsms/search-product.php', 233, 'AST_VAR', 'dfsms/search-product.php', 236, 'AST_DIM', 'dfsms/search-product.php', 253, 'AST_VAR', 'dfsms/search-product.php', 253, 'AST_DIM', 'dfsms/search-product.php', 60]"
item,"['AST_VAR', 'dfsms/search-product.php', 234, 'AST_VAR', 'dfsms/search-product.php', 235, 'AST_VAR', 'dfsms/search-product.php', 235, 'AST_VAR', 'dfsms/search-product.php', 236, 'AST_VAR', 'dfsms/search-product.php', 239, 'AST_VAR', 'dfsms/search-product.php', 239, 'AST_VAR', 'dfsms/search-product.php', 241, 'AST_VAR', 'dfsms/search-product.php', 242, 'AST_VAR', 'dfsms/search-product.php', 243, 'AST_VAR', 'dfsms/search-product.php', 244, 'AST_VAR', 'dfsms/search-product.php', 245, 'AST_VAR', 'dfsms/search-product.php', 247, 'AST_VAR', 'dfsms/search-product.php', 250, 'AST_VAR', 'dfsms/search-product.php', 251, 'AST_VAR', 'dfsms/search-product.php', 251]"
item_price,"['AST_VAR', 'dfsms/search-product.php', 235, 'AST_VAR', 'dfsms/search-product.php', 246]"
quantity,"['AST_DIM', 'dfsms/search-product.php', 235, 'AST_DIM', 'dfsms/search-product.php', 239, 'AST_DIM', 'dfsms/search-product.php', 244, 'AST_DIM', 'dfsms/search-product.php', 250, 'AST_DIM', 'dfsms/search-product.php', 251, 'AST_DIM', 'dfsms/search-product.php', 14, 'AST_DIM', 'dfsms/search-product.php', 18, 'AST_ARRAY_ELEM', 'dfsms/search-product.php', 18, 'AST_DIM', 'dfsms/search-product.php', 23, 'AST_DIM', 'dfsms/search-product.php', 24, 'AST_DIM', 'dfsms/search-product.php', 26, 'AST_DIM', 'dfsms/search-product.php', 26, 'AST_VAR', 'dfsms/search-product.php', 61, 'AST_DIM', 'dfsms/search-product.php', 61, 'AST_VAR', 'dfsms/search-product.php', 65]"
price,"['AST_DIM', 'dfsms/search-product.php', 235, 'AST_DIM', 'dfsms/search-product.php', 245, 'AST_DIM', 'dfsms/search-product.php', 251, 'AST_ARRAY_ELEM', 'dfsms/search-product.php', 18]"
array_push,"['AST_NAME', 'dfsms/search-product.php', 236]"
code,"['AST_DIM', 'dfsms/search-product.php', 236, 'AST_DIM', 'dfsms/search-product.php', 239, 'AST_DIM', 'dfsms/search-product.php', 247, 'AST_ARRAY_ELEM', 'dfsms/search-product.php', 18, 'AST_DIM', 'dfsms/search-product.php', 43]"
""" name=""quantity[","['AST_ECHO', 'dfsms/search-product.php', 239]"
compname,"['AST_DIM', 'dfsms/search-product.php', 243, 'AST_ARRAY_ELEM', 'dfsms/search-product.php', 18]"
action,"['AST_DIM', 'dfsms/search-product.php', 9, 'AST_DIM', 'dfsms/search-product.php', 10]"
add,"['AST_SWITCH_CASE', 'dfsms/search-product.php', 13]"
SELECT * FROM tblproducts WHERE id=',"['AST_ENCAPS_LIST', 'dfsms/search-product.php', 16]"
productByCode,"['AST_VAR', 'dfsms/search-product.php', 17, 'AST_VAR', 'dfsms/search-product.php', 18, 'AST_VAR', 'dfsms/search-product.php', 18, 'AST_VAR', 'dfsms/search-product.php', 18, 'AST_VAR', 'dfsms/search-product.php', 18, 'AST_VAR', 'dfsms/search-product.php', 18, 'AST_VAR', 'dfsms/search-product.php', 18, 'AST_VAR', 'dfsms/search-product.php', 20, 'AST_VAR', 'dfsms/search-product.php', 22]"
itemArray,"['AST_VAR', 'dfsms/search-product.php', 18, 'AST_VAR', 'dfsms/search-product.php', 30, 'AST_VAR', 'dfsms/search-product.php', 33]"
in_array,"['AST_NAME', 'dfsms/search-product.php', 20]"
array_keys,"['AST_NAME', 'dfsms/search-product.php', 20]"
v,"['AST_VAR', 'dfsms/search-product.php', 21, 'AST_VAR', 'dfsms/search-product.php', 42]"
k,"['AST_VAR', 'dfsms/search-product.php', 21, 'AST_VAR', 'dfsms/search-product.php', 22, 'AST_VAR', 'dfsms/search-product.php', 23, 'AST_VAR', 'dfsms/search-product.php', 24, 'AST_VAR', 'dfsms/search-product.php', 26, 'AST_VAR', 'dfsms/search-product.php', 42, 'AST_VAR', 'dfsms/search-product.php', 43, 'AST_VAR', 'dfsms/search-product.php', 44]"
array_merge,"['AST_NAME', 'dfsms/search-product.php', 30]"
remove,"['AST_SWITCH_CASE', 'dfsms/search-product.php', 40]"
empty,"['AST_SWITCH_CASE', 'dfsms/search-product.php', 51]"
checkout,"['AST_DIM', 'dfsms/search-product.php', 58]"
invoiceno,"['AST_VAR', 'dfsms/search-product.php', 59, 'AST_VAR', 'dfsms/search-product.php', 67, 'AST_VAR', 'dfsms/search-product.php', 69, 'AST_VAR', 'dfsms/search-product.php', 71]"
100000000,"['AST_ARG_LIST', 'dfsms/search-product.php', 59]"
999999999,"['AST_ARG_LIST', 'dfsms/search-product.php', 59]"
customername,"['AST_DIM', 'dfsms/search-product.php', 62]"
cmobileno,"['AST_VAR', 'dfsms/search-product.php', 63, 'AST_VAR', 'dfsms/search-product.php', 67]"
pmode,"['AST_VAR', 'dfsms/search-product.php', 64, 'AST_VAR', 'dfsms/search-product.php', 67]"
paymentmode,"['AST_DIM', 'dfsms/search-product.php', 64]"
value,"['AST_VAR', 'dfsms/search-product.php', 65, 'AST_VAR', 'dfsms/search-product.php', 66]"
array_combine,"['AST_NAME', 'dfsms/search-product.php', 65]"
pdid,"['AST_VAR', 'dfsms/search-product.php', 66, 'AST_VAR', 'dfsms/search-product.php', 67]"
"insert into tblorders(ProductId,Quantity,InvoiceNumber,CustomerName,CustomerContactNo,PaymentMode) values('","['AST_ENCAPS_LIST', 'dfsms/search-product.php', 67]"
